date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:08	61/61	---MCZ	200	added ('OK')	text/plain	date:Tue,%2009%20Jun%202015%2019:29:09%20GMT	http://sweethome.marstheme.com/robots.txt		(from )
16:29:08	52114/52114	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:29:09%20GMT	http://sweethome.marstheme.com/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/index.html	(from )
16:29:09	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2009%20Jun%202015%2019:29:11%20GMT	http://sweethome.marstheme.com/xmlrpc.php	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/xmlrpc.php	(from http://sweethome.marstheme.com/)
16:29:09	340/340	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2009%20Jun%202015%2019:29:11%20GMT	http://sweethome.marstheme.com/wp-content/themes/sweethome	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/themes/sweethome	(from http://sweethome.marstheme.com/)
16:29:10	189/189	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:29:12%20GMT	http://sweethome.marstheme.com/wp-content/themes/sweethome/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/themes/sweethome/index.html	(from http://sweethome.marstheme.com/)
16:29:10	1/1	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:29:12%20GMT	http://sweethome.marstheme.com/wp-admin/admin-ajax.php	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-admin/admin-ajax.html	(from http://sweethome.marstheme.com/)
16:29:11	843/843	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202015%2007:36:42%20GMT	http://sweethome.marstheme.com/wp-content/plugins/siteorigin-panels/css/front.css?ver=2.1	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/plugins/siteorigin-panels/css/front53cf.css	(from http://sweethome.marstheme.com/)
16:29:11	1103/1103	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Mar%202015%2009:40:59%20GMT	http://sweethome.marstheme.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.1.1	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/plugins/contact-form-7/includes/css/styles0235.css	(from http://sweethome.marstheme.com/)
16:29:12	15307/15307	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202015%2007:36:44%20GMT	http://sweethome.marstheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=2.3.8	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout7e78.css	(from http://sweethome.marstheme.com/)
16:29:12	867/867	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/home-page/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/home-page/feed/index.html	(from http://sweethome.marstheme.com/)
16:29:12	44008/44008	---MCZ	200	added ('OK')	text/xml	etag:W/%227691ac4f26fdc695f4521179ade7f7b3%22	http://sweethome.marstheme.com/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/feed/index.html	(from http://sweethome.marstheme.com/)
16:29:12	5780/5780	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202015%2007:36:44%20GMT	http://sweethome.marstheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=2.3.8	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen7e78.css	(from http://sweethome.marstheme.com/)
16:29:12	40182/40182	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202015%2007:36:44%20GMT	http://sweethome.marstheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=2.3.8	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/plugins/woocommerce/assets/css/woocommerce7e78.css	(from http://sweethome.marstheme.com/)
